,Name,Label,Price,Kms_driven,Fuel_type,Owner,Year,Company
953,Volkswagen Ameo Comfortline,PLATINUM,519699,26023,Petrol,1st Owner,2017,Volkswagen
954,Maruti Suzuki Alto,PLATINUM,324599,19805,Petrol,2nd Owner,2018,Maruti
955,Maruti Suzuki Alto,PLATINUM,340199,41365,Petrol,2nd Owner,2017,Maruti
956,Ford Ecosport,PLATINUM,693999,90001,Diesel,1st Owner,2017,Ford
957,Hyundai EON Era,PLATINUM,310999,45285,Petrol,2nd Owner,2016,Hyundai
958,Maruti Suzuki Ciaz,PLATINUM,722199,42441,Petrol,2nd Owner,2016,Maruti
959,Maruti Suzuki Celerio,PLATINUM,485099,24342,Petrol,3rd Owner,2016,Maruti
960,Maruti Suzuki Dzire,PLATINUM,614999,14308,Petrol,2nd Owner,2017,Maruti
961,Maruti Suzuki Vitara,PLATINUM,1061399,32456,Diesel,2nd Owner,2018,Maruti
962,Maruti Suzuki S,PLATINUM,879699,58448,Diesel,1st Owner,2018,Maruti
963,Maruti Suzuki Ertiga,PLATINUM,755199,86576,Diesel,2nd Owner,2016,Maruti
964,Ford Ecosport,PLATINUM,816399,50421,Petrol,2nd Owner,2018,Ford
965,Maruti Suzuki Eeco,PLATINUM,414299,26035,Petrol,2nd Owner,2017,Maruti
966,Tata Tiago,PLATINUM,476299,23499,Petrol,2nd Owner,2018,Tata
967,Maruti Suzuki Baleno,PLATINUM,572599,25636,Petrol,2nd Owner,2016,Maruti
968,Kia Seltos,PLATINUM,1644799,15023,Petrol,2nd Owner,2019,Kia
969,Mahindra Jeep CL550,GOLD,440000,250,Diesel,2nd Owner,2020,Mahindra
970,Volkswagen Vento Highline,GOLD,575000,66000,Petrol,2nd Owner,2015,Volkswagen
971,Toyota Innova 2.5,GOLD,880000,85000,Diesel,2nd Owner,2015,Toyota
972,Kia Carnival,GOLD,1500000,50000,Diesel,1st Owner,2020,Kia
973,Hyundai Creta,GOLD,1000000,12000,Petrol,1st Owner,2021,Hyundai
974,Chevrolet Beat,GOLD,86000,56000,Petrol,2nd Owner,2011,Chevrolet
975,Maruti Suzuki Wagon,GOLD,89000,53000,Petrol,2nd Owner,2010,Maruti
976,Tata Nano CNG,GOLD,90000,28000,Petrol,2nd Owner,2014,Tata
977,Maruti Suzuki Alto,PLATINUM,352199,22584,Petrol,1st Owner,2015,Maruti
978,Maruti Suzuki Baleno,PLATINUM,566899,22394,Petrol,2nd Owner,2017,Maruti
979,Maruti Suzuki Dzire,PLATINUM,650699,93563,Diesel,2nd Owner,2017,Maruti
980,Maruti Suzuki Eeco,PLATINUM,413399,10537,Petrol,2nd Owner,2017,Maruti
981,Ford Ecosport,PLATINUM,645799,81515,Diesel,1st Owner,2016,Ford
982,Jeep Compass,PLATINUM,1551499,24676,Diesel,2nd Owner,2017,Jeep
983,Maruti Suzuki Alto,PLATINUM,333699,11917,Petrol,2nd Owner,2017,Maruti
984,Maruti Suzuki Ertiga,PLATINUM,811799,69654,Diesel,2nd Owner,2016,Maruti
985,Maruti Suzuki Alto,PLATINUM,406899,16226,Petrol,2nd Owner,2017,Maruti
986,Ford Ecosport,PLATINUM,727299,8925,Petrol,2nd Owner,2018,Ford
987,Honda Jazz,PLATINUM,657399,27819,Petrol,2nd Owner,2016,Honda
988,Hyundai Grand i10,PLATINUM,637599,26543,Petrol,2nd Owner,2020,Hyundai
989,Maruti Suzuki Dzire,PLATINUM,623799,90088,Petrol,2nd Owner,2017,Maruti
990,Maruti Suzuki Eeco,PLATINUM,422899,34258,Petrol,2nd Owner,2018,Maruti
991,Hyundai i20 Active,PLATINUM,576099,101744,Petrol,2nd Owner,2015,Hyundai
992,Jeep Compass,PLATINUM,1987699,19830,Petrol,2nd Owner,2019,Jeep
993,Ford Ikon,GOLD,39000,73000,Petrol,2nd Owner,2007,Ford
994,Hyundai Grand i10,GOLD,475000,38000,Diesel,2nd Owner,2019,Hyundai
995,Mahindra XUV 500,GOLD,450000,87500,Diesel,2nd Owner,2012,Mahindra
996,Maruti Suzuki Ertiga,GOLD,650000,91000,Diesel,2nd Owner,2014,Maruti
997,Maruti Suzuki Ritz,GOLD,326000,76000,Diesel,2nd Owner,2012,Maruti
998,Tata Indica Vista,GOLD,170000,80000,Diesel,2nd Owner,2011,Tata
999,Maruti Suzuki Eeco,GOLD,250000,70000,CNG,2nd Owner,2013,Maruti
1000,Maruti Suzuki Alto,GOLD,88000,85000,Petrol,2nd Owner,2007,Maruti
1001,MG Motors Hector,PLATINUM,1652199,13636,Petrol,1st Owner,2019,MG
1002,Hyundai Venue,PLATINUM,1217499,21393,Petrol,2nd Owner,2019,Hyundai
1003,Hyundai Creta,PLATINUM,1198299,76915,Diesel,2nd Owner,2017,Hyundai
1004,Hyundai Grand i10,PLATINUM,590799,16300,Petrol,2nd Owner,2018,Hyundai
1005,Hyundai Elite i20,PLATINUM,844999,40106,Diesel,2nd Owner,2019,Hyundai
1006,Renault Kwid RXT,PLATINUM,328499,66461,Petrol,1st Owner,2015,Renault
1007,Hyundai Creta,PLATINUM,769599,48182,Petrol,2nd Owner,2016,Hyundai
1008,Hyundai Elite i20,PLATINUM,654299,41816,Petrol,1st Owner,2017,Hyundai
1009,Hyundai i20,PLATINUM,395699,73841,Petrol,2nd Owner,2012,Hyundai
1010,Renault Kwid RxL,PLATINUM,294799,19908,Petrol,3rd Owner,2016,Renault
1011,Hyundai Elite i20,PLATINUM,534499,26226,Petrol,1st Owner,2018,Hyundai
1012,Maruti Suzuki Baleno,PLATINUM,681399,43287,Petrol,2nd Owner,2016,Maruti
1013,Datsun Redi GO,PLATINUM,415699,26527,Petrol,2nd Owner,2018,Datsun
1014,Maruti Suzuki Alto,PLATINUM,300199,37801,Petrol,3rd Owner,2017,Maruti
1015,Maruti Suzuki Vitara,PLATINUM,856699,54044,Diesel,2nd Owner,2017,Maruti
1016,Ford Figo Aspire,PLATINUM,481399,29632,Petrol,2nd Owner,2017,Ford
1017,Mahindra Xylo D2,GOLD,375000,115000,Diesel,2nd Owner,2009,Mahindra
1018,Maruti Suzuki Eeco,GOLD,525000,13000,Petrol,2nd Owner,2020,Maruti
1019,Maruti Suzuki Swift,GOLD,550000,42000,Diesel,2nd Owner,2018,Maruti
1020,Hyundai i10 Magna,GOLD,229000,65000,Petrol,1st Owner,2014,Hyundai
1021,Maruti Suzuki Alto,GOLD,275000,60000,Petrol,2nd Owner,2014,Maruti
1022,Jeep Compass Limited,GOLD,1750000,31000,Diesel,1st Owner,2017,Jeep
1023,Jeep Compass Limited,GOLD,1750000,31000,Diesel,1st Owner,2017,Jeep
1024,Jeep Compass Limited,GOLD,1750000,31000,Diesel,1st Owner,2017,Jeep
