,Name,Label,Price,Kms_driven,Fuel_type,Owner,Year,Company
157,Volkswagen Polo,PLATINUM,714999,41218,Petrol,1st Owner,2017,Volkswagen
158,Maruti Suzuki Baleno,PLATINUM,765599,9085,Petrol,1st Owner,2020,Maruti
159,MG Motors Hector,PLATINUM,1800299,11292,Diesel,2nd Owner,2019,MG
160,Mercedes Benz C,GOLD,1190000,75000,Diesel,2nd Owner,2011,Mercedes
161,Hyundai Creta 1.6,GOLD,1452000,28000,Diesel,2nd Owner,2018,Hyundai
162,Skoda Rapid Style,GOLD,1026000,48000,Diesel,2nd Owner,2018,Skoda
163,Maruti Suzuki Ertiga,GOLD,821000,51000,Diesel,2nd Owner,2017,Maruti
164,Hyundai Grand i10,GOLD,725000,24990,Petrol,2nd Owner,2020,Hyundai
165,Maruti Suzuki Ertiga,GOLD,600000,48600,Diesel,1st Owner,2015,Maruti
166,Maruti Suzuki Alto,GOLD,336000,3600,Petrol,1st Owner,2019,Maruti
167,Tata Indigo eCS,GOLD,200000,115000,Diesel,2nd Owner,2012,Tata
168,Maruti Suzuki Dzire,PLATINUM,680699,29594,Petrol,2nd Owner,2019,Maruti
169,Honda City VX,PLATINUM,714899,55953,Petrol,1st Owner,2015,Honda
170,Maruti Suzuki Alto,PLATINUM,316799,16980,Petrol,1st Owner,2016,Maruti
171,Ford Ecosport,PLATINUM,675099,41828,Diesel,2nd Owner,2016,Ford
172,Maruti Suzuki S,PLATINUM,1057399,64803,Diesel,2nd Owner,2018,Maruti
173,Maruti Suzuki Ertiga,PLATINUM,938099,44460,Diesel,2nd Owner,2018,Maruti
174,Tata Nexon,PLATINUM,1057699,14276,Diesel,2nd Owner,2018,Tata
175,Maruti Suzuki Wagon,PLATINUM,610099,23425,Petrol,2nd Owner,2019,Maruti
176,Maruti Suzuki Alto,PLATINUM,452199,23056,Petrol,2nd Owner,2018,Maruti
177,Hyundai Elite i20,PLATINUM,712699,16102,Petrol,2nd Owner,2019,Hyundai
178,Maruti Suzuki Vitara,PLATINUM,838699,56615,Diesel,1st Owner,2019,Maruti
179,Mahindra TUV300,PLATINUM,666899,70317,Diesel,1st Owner,2015,Mahindra
180,MG Motors Hector,PLATINUM,1681899,6760,Petrol,2nd Owner,2020,MG
181,MG Motors Hector,PLATINUM,1854599,8870,Petrol,2nd Owner,2020,MG
182,Maruti Suzuki Baleno,PLATINUM,571499,78209,Petrol,1st Owner,2016,Maruti
183,Volkswagen Vento,PLATINUM,589199,64292,Petrol,2nd Owner,2015,Volkswagen
184,Toyota Innova Crysta,GOLD,2350000,57000,Diesel,2nd Owner,2020,Toyota
185,Toyota Fortuner,GOLD,3650000,42000,Diesel,2nd Owner,2019,Toyota
186,Toyota Innova 2.5,GOLD,445000,141000,Diesel,2nd Owner,2011,Toyota
187,Toyota Fortuner 3.0,GOLD,1231000,117000,Diesel,2nd Owner,2012,Toyota
188,Mahindra TUV300 T8,GOLD,600000,70000,Diesel,2nd Owner,2015,Mahindra
189,Hyundai i20 Magna,GOLD,320000,89450,Diesel,2nd Owner,2011,Hyundai
190,Maruti Suzuki Ertiga,GOLD,1175000,29000,Petrol,2nd Owner,2020,Maruti
191,Maruti Suzuki Alto,PLATINUM,351699,58771,Petrol,2nd Owner,2015,Maruti
192,Maruti Suzuki Alto,PLATINUM,299199,53266,Petrol,2nd Owner,2016,Maruti
193,Honda Amaze,PLATINUM,657199,9200,Petrol,2nd Owner,2019,Honda
194,Ford Ecosport,PLATINUM,539299,61721,Petrol,2nd Owner,2014,Ford
195,Hyundai Grand i10,PLATINUM,608399,18333,Petrol,2nd Owner,2017,Hyundai
196,Ford Ecosport,PLATINUM,1042799,51780,Petrol,2nd Owner,2019,Ford
197,Maruti Suzuki Baleno,PLATINUM,645199,30854,Petrol,2nd Owner,2018,Maruti
198,Ford Ecosport,PLATINUM,811899,24680,Petrol,2nd Owner,2017,Ford
199,Volkswagen Vento,PLATINUM,557799,85663,Petrol,1st Owner,2015,Volkswagen
200,Mahindra Bolero,PLATINUM,873999,20541,Diesel,2nd Owner,2021,Mahindra
201,Hyundai i20 Magna,PLATINUM,278299,64182,Petrol,1st Owner,2010,Hyundai
202,Maruti Suzuki S,PLATINUM,986399,58819,Diesel,2nd Owner,2017,Maruti
203,Maruti Suzuki Wagon,PLATINUM,610099,32057,Petrol,2nd Owner,2019,Maruti
204,Jeep Compass,PLATINUM,1749899,18403,Petrol,2nd Owner,2018,Jeep
205,Maruti Suzuki Alto,PLATINUM,443899,7877,Petrol,2nd Owner,2018,Maruti
206,Hyundai Verna 1.6,PLATINUM,936299,15509,Petrol,2nd Owner,2018,Hyundai
207,Honda Jazz VX,GOLD,850000,15000,Petrol,2nd Owner,2018,Honda
208,Maruti Suzuki Ignis,GOLD,595000,75000,Diesel,2nd Owner,2017,Maruti
209,Hyundai i10 Magna,GOLD,175000,62000,Petrol,2nd Owner,2008,Hyundai
210,Hyundai Creta 1.6,GOLD,930000,134500,Diesel,2nd Owner,2018,Hyundai
211,Toyota Fortuner 3.0,GOLD,1500000,63896,Diesel,2nd Owner,2012,Toyota
212,Mahindra Scorpio,GOLD,159000,90000,Diesel,2nd Owner,2005,Mahindra
213,Maruti Suzuki Alto,GOLD,69000,58000,Petrol,2nd Owner,2007,Maruti
214,Ford Ikon,GOLD,69000,85000,Diesel,2nd Owner,2008,Ford
215,Maruti Suzuki Baleno,PLATINUM,580599,48329,Petrol,1st Owner,2016,Maruti
216,Renault Kwid RXT,PLATINUM,404499,21301,Petrol,2nd Owner,2019,Renault
217,Maruti Suzuki Vitara,PLATINUM,838699,34566,Diesel,2nd Owner,2019,Maruti
218,Renault Kwid,PLATINUM,446499,34297,Petrol,2nd Owner,2018,Renault
219,Tata Hexa,PLATINUM,1047499,119571,Diesel,2nd Owner,2017,Tata
220,Maruti Suzuki Alto,PLATINUM,345599,27957,Petrol,2nd Owner,2018,Maruti
221,Ford Ecosport,PLATINUM,784399,27210,Petrol,2nd Owner,2018,Ford
222,Maruti Suzuki Swift,PLATINUM,489399,21610,Petrol,2nd Owner,2014,Maruti
223,Maruti Suzuki Baleno,PLATINUM,627499,40902,Petrol,2nd Owner,2017,Maruti
224,Maruti Suzuki Alto,PLATINUM,288399,11057,Petrol,2nd Owner,2015,Maruti
225,Maruti Suzuki Baleno,PLATINUM,573999,72505,Petrol,2nd Owner,2016,Maruti
226,Hyundai Creta,PLATINUM,1373699,31338,Petrol,1st Owner,2018,Hyundai
227,Maruti Suzuki Alto,PLATINUM,279799,28674,Petrol,2nd Owner,2016,Maruti
228,Hyundai Elite i20,PLATINUM,658199,25416,Petrol,1st Owner,2018,Hyundai
229,Hyundai Grand i10,PLATINUM,465499,14765,Petrol,2nd Owner,2016,Hyundai
230,Toyota Etios,PLATINUM,563999,60380,Diesel,1st Owner,2015,Toyota
231,Hyundai Santro,GOLD,59000,85000,Petrol,2nd Owner,2001,Hyundai
232,Hyundai Getz,GOLD,119000,73000,Petrol,2nd Owner,2006,Hyundai
233,Hyundai Santro Xing,GOLD,69000,85000,Petrol,2nd Owner,2004,Hyundai
234,Hyundai Santro,GOLD,89000,85000,Petrol,2nd Owner,2002,Hyundai
235,Ford Figo,GOLD,129000,86000,Diesel,2nd Owner,2012,Ford
236,Toyota Fortuner 2.8,GOLD,2931000,55000,Diesel,2nd Owner,2019,Toyota
237,Mahindra Bolero ZLX,GOLD,790000,79950,Diesel,2nd Owner,2018,Mahindra
238,Fiat Linea Emotion,GOLD,200000,75000,Diesel,2nd Owner,2009,Fiat
239,Maruti Suzuki Baleno,PLATINUM,718699,19775,Petrol,2nd Owner,2018,Maruti
240,Tata Tiago,PLATINUM,543399,28495,Petrol,1st Owner,2018,Tata
241,Hyundai Creta,PLATINUM,1780399,28344,Diesel,2nd Owner,2020,Hyundai
242,Toyota Glanza,PLATINUM,757999,10801,Petrol,2nd Owner,2020,Toyota
243,Tata Nexon,PLATINUM,1013999,4365,Petrol,1st Owner,2019,Tata
244,Maruti Suzuki Celerio,PLATINUM,439999,53266,Diesel,2nd Owner,2016,Maruti
245,Maruti Suzuki S,PLATINUM,839199,50866,Diesel,2nd Owner,2018,Maruti
246,Maruti Suzuki Alto,PLATINUM,421799,24230,Petrol,2nd Owner,2019,Maruti
247,Maruti Suzuki Baleno,PLATINUM,580599,64275,Petrol,2nd Owner,2016,Maruti
248,Hyundai Venue,PLATINUM,986799,8924,Petrol,2nd Owner,2019,Hyundai
249,MG Motors Hector,PLATINUM,2057399,12208,Petrol,2nd Owner,2021,MG
250,Honda City V,PLATINUM,1082299,26956,Petrol,2nd Owner,2018,Honda
251,Hyundai Grand i10,PLATINUM,576999,12223,Petrol,2nd Owner,2017,Hyundai
252,Hyundai Grand i10,PLATINUM,533199,23960,Petrol,2nd Owner,2016,Hyundai
253,Maruti Suzuki Wagon,PLATINUM,473299,33687,Petrol,2nd Owner,2015,Maruti
254,MG Motors Hector,PLATINUM,1838399,24887,Petrol,2nd Owner,2020,MG
255,Toyota Innova 2.5,GOLD,800000,74000,Diesel,2nd Owner,2013,Toyota
256,Nissan Micra XE,GOLD,199000,40000,Petrol,2nd Owner,2011,Nissan
257,Hyundai Creta 1.6,GOLD,1750000,45000,Diesel,2nd Owner,2020,Hyundai
258,Maruti Suzuki Swift,GOLD,595000,41000,Diesel,2nd Owner,2018,Maruti
259,BMW 3 Series,GOLD,1890000,61000,Diesel,2nd Owner,2015,BMW
260,Jaguar XF 2.2,GOLD,2150000,20000,Diesel,2nd Owner,2014,Jaguar
261,Hyundai Verna Fluidic,GOLD,699000,26000,Petrol,1st Owner,2015,Hyundai
262,Hyundai Grand i10,PLATINUM,451799,71423,Petrol,2nd Owner,2015,Hyundai
263,Hyundai Grand i10,PLATINUM,446999,34095,Petrol,1st Owner,2015,Hyundai
264,Maruti Suzuki Wagon,PLATINUM,470799,32658,Petrol,2nd Owner,2016,Maruti
265,Maruti Suzuki Ignis,PLATINUM,511799,33166,Petrol,2nd Owner,2017,Maruti
266,Maruti Suzuki Wagon,PLATINUM,399899,31284,Petrol,2nd Owner,2014,Maruti
267,Maruti Suzuki Wagon,PLATINUM,375999,66090,Petrol,2nd Owner,2015,Maruti
268,Ford Ecosport,PLATINUM,664799,51295,Petrol,2nd Owner,2016,Ford
269,Maruti Suzuki Baleno,PLATINUM,617799,48693,Petrol,2nd Owner,2016,Maruti
270,Maruti Suzuki Ciaz,PLATINUM,749299,36626,Diesel,2nd Owner,2017,Maruti
271,Renault Duster,PLATINUM,795799,55752,Diesel,2nd Owner,2016,Renault
272,Tata Tigor,PLATINUM,543499,49341,Diesel,2nd Owner,2017,Tata
273,Maruti Suzuki Alto,PLATINUM,317199,60251,Petrol,2nd Owner,2015,Maruti
274,Maruti Suzuki Alto,PLATINUM,373699,22269,Petrol,2nd Owner,2015,Maruti
275,Volkswagen Ameo,PLATINUM,501799,38999,Petrol,2nd Owner,2016,Volkswagen
276,Maruti Suzuki Vitara,PLATINUM,838699,29110,Diesel,2nd Owner,2019,Maruti
277,Hyundai Creta,PLATINUM,1804399,14506,Petrol,2nd Owner,2020,Hyundai
278,Chevrolet Beat LT,GOLD,175000,55000,Petrol,2nd Owner,2010,Chevrolet
279,Tata Hexa XM,GOLD,1200000,60000,Diesel,2nd Owner,2018,Tata
280,Toyota Corolla H5,GOLD,170000,80000,Petrol,2nd Owner,2006,Toyota
281,Maruti Suzuki Maruti,GOLD,65000,108252,Petrol,2nd Owner,2005,Maruti
282,Maruti Suzuki Wagon,GOLD,360000,36000,Petrol,2nd Owner,2014,Maruti
283,Hyundai Xcent 1.2,GOLD,299000,95000,Diesel,2nd Owner,2016,Hyundai
284,Ford Figo 1.5,GOLD,176000,88000,Diesel,2nd Owner,2010,Ford
285,Maruti Suzuki Wagon,GOLD,325000,60000,Petrol,1st Owner,2014,Maruti
286,Hyundai Creta,PLATINUM,1804399,14506,Petrol,2nd Owner,2020,Hyundai
287,Maruti Suzuki S,PLATINUM,985299,29115,Diesel,2nd Owner,2017,Maruti
288,Maruti Suzuki Baleno,PLATINUM,642899,34763,Petrol,2nd Owner,2017,Maruti
289,Maruti Suzuki Ciaz,PLATINUM,740000,12500,Diesel,2nd Owner,2015,Maruti
290,Maruti Suzuki Baleno,PLATINUM,610000,85000,Petrol,2nd Owner,2017,Maruti
291,Hyundai Grand i10,PLATINUM,495000,40000,Petrol,2nd Owner,2016,Hyundai
292,Hyundai Verna 1.6,PLATINUM,510000,71000,Petrol,2nd Owner,2014,Hyundai
293,Maruti Suzuki Baleno,PLATINUM,560000,44000,Petrol,2nd Owner,2017,Maruti
294,Toyota Innova 2.0,PLATINUM,455000,124000,Diesel,2nd Owner,2009,Toyota
295,Maruti Suzuki Wagon,PLATINUM,350000,78000,CNG,2nd Owner,2012,Maruti
296,Renault Kwid CLIMBER,PLATINUM,463099,44696,Petrol,1st Owner,2017,Renault
297,Maruti Suzuki Alto,PLATINUM,350599,33004,Petrol,2nd Owner,2018,Maruti
298,Hyundai Verna Fluidic,PLATINUM,636299,46034,Petrol,1st Owner,2016,Hyundai
299,Hyundai Grand i10,PLATINUM,698199,60307,Petrol,1st Owner,2020,Hyundai
300,Hyundai Grand i10,PLATINUM,764199,8825,Petrol,1st Owner,2021,Hyundai
301,Maruti Suzuki Celerio,PLATINUM,524799,5743,Petrol,1st Owner,2019,Maruti
302,Ford EcoSport Ambiente,GOLD,420000,87000,Diesel,1st Owner,2013,Ford
303,Kia Seltos GTX,GOLD,1831000,19500,Petrol,2nd Owner,2020,Kia
304,Chevrolet Beat LS,GOLD,210000,60000,Petrol,2nd Owner,2010,Chevrolet
305,Volkswagen Vento Highline,GOLD,465000,70000,Petrol,2nd Owner,2013,Volkswagen
306,Audi Q7 35,GOLD,2250000,65000,Diesel,2nd Owner,2017,Audi
307,Maruti Suzuki Ertiga,GOLD,1090000,35623,Petrol,2nd Owner,2020,Maruti
308,Toyota Innova,GOLD,375000,160000,Petrol,2nd Owner,2005,Toyota
309,Hyundai i20 Sportz,GOLD,225000,98500,Petrol,2nd Owner,2009,Hyundai
310,Maruti Suzuki Celerio,PLATINUM,524799,5743,Petrol,1st Owner,2019,Maruti
311,Maruti Suzuki Eeco,PLATINUM,493899,25735,Petrol,1st Owner,2019,Maruti
312,Hyundai Elite i20,PLATINUM,825299,37522,Petrol,2nd Owner,2019,Hyundai
313,Maruti Suzuki Wagon,PLATINUM,495499,38955,Petrol,1st Owner,2018,Maruti
314,Hyundai Eon Era,PLATINUM,277599,65308,Petrol,1st Owner,2014,Hyundai
315,Maruti Suzuki Wagon,PLATINUM,473899,30467,Petrol,1st Owner,2017,Maruti
316,Hyundai Venue S,PLATINUM,855299,1954,Petrol,1st Owner,2019,Hyundai
317,Hyundai Santro 1.1,PLATINUM,540299,35220,Petrol,1st Owner,2019,Hyundai
318,Hyundai Elite i20,PLATINUM,642899,75876,Petrol,1st Owner,2016,Hyundai
319,Maruti Suzuki Alto,PLATINUM,442299,27020,Petrol,1st Owner,2021,Maruti
320,Renault Triber 1.0,PLATINUM,725399,13739,Petrol,1st Owner,2019,Renault
321,Maruti Suzuki Wagon,PLATINUM,558299,21544,Petrol,1st Owner,2019,Maruti
322,Maruti Suzuki Alto,PLATINUM,354299,13816,Petrol,1st Owner,2016,Maruti
323,Hyundai Elite i20,PLATINUM,673599,23817,Petrol,1st Owner,2016,Hyundai
324,Hyundai Grand i10,PLATINUM,525099,60985,Petrol,1st Owner,2017,Hyundai
325,Hyundai Verna SX,GOLD,525000,80000,Diesel,2nd Owner,2012,Hyundai
326,Volkswagen Polo Comfortline,GOLD,675000,30123,Petrol,2nd Owner,2018,Volkswagen
327,Renault Kwid RXT,GOLD,325000,67000,Petrol,2nd Owner,2016,Renault
328,Renault Triber RXT,GOLD,645000,26123,Petrol,2nd Owner,2020,Renault
329,Maruti Suzuki Ertiga,GOLD,785000,60123,Petrol,2nd Owner,2017,Maruti
330,Mahindra TUV300 T8,GOLD,690000,52123,Diesel,2nd Owner,2016,Mahindra
331,Maruti Suzuki Celerio,GOLD,425000,11123,Petrol,2nd Owner,2018,Maruti
332,Hyundai Elite i20,GOLD,645000,41233,Petrol,2nd Owner,2019,Hyundai
333,Maruti Suzuki Swift,PLATINUM,529699,50141,Petrol,1st Owner,2016,Maruti
334,Maruti Suzuki Ertiga,PLATINUM,1081899,86033,Diesel,2nd Owner,2018,Maruti
335,Fiat Linea Dynamic,PLATINUM,256000,30000,Petrol,1st Owner,2012,Fiat
336,Honda City ZX,PLATINUM,290000,86924,Petrol,2nd Owner,2008,Honda
337,Volkswagen Polo GT,PLATINUM,735000,68870,Petrol,2nd Owner,2016,Volkswagen
338,Maruti Suzuki XL6,PLATINUM,1244799,22292,Petrol,2nd Owner,2019,Maruti
339,Honda Amaze,PLATINUM,474399,44013,Petrol,1st Owner,2014,Honda
340,Maruti Suzuki Wagon,PLATINUM,389399,96250,Petrol,2nd Owner,2016,Maruti
341,Maruti Suzuki Swift,PLATINUM,562399,59839,Petrol,2nd Owner,2017,Maruti
342,Hyundai Grand i10,PLATINUM,446699,49693,Petrol,2nd Owner,2015,Hyundai
343,Renault Kwid RXT,PLATINUM,439999,22223,Petrol,1st Owner,2017,Renault
344,Honda Amaze,PLATINUM,918999,8030,Petrol,2nd Owner,2021,Honda
345,Volkswagen Polo,PLATINUM,815799,38780,Petrol,2nd Owner,2016,Volkswagen
346,Maruti Suzuki Vitara,PLATINUM,896799,31919,Diesel,2nd Owner,2018,Maruti
347,Hyundai i10 Sportz,PLATINUM,411399,47564,Petrol,2nd Owner,2015,Hyundai
348,Hyundai Grand i10,PLATINUM,498999,42836,Petrol,2nd Owner,2013,Hyundai
349,Renault Kwid RXT,GOLD,470000,6000,Petrol,2nd Owner,2020,Renault
350,Tata Indica,GOLD,69000,85000,Diesel,2nd Owner,2007,Tata
351,Mahindra TUV300 T8,GOLD,925000,27000,Diesel,2nd Owner,2018,Mahindra
352,Mahindra Scorpio LX,GOLD,495000,690000,Diesel,2nd Owner,2013,Mahindra
353,Maruti Suzuki Ertiga,GOLD,1090000,35000,Petrol,2nd Owner,2020,Maruti
354,Toyota Etios Liva,GOLD,300000,135000,Diesel,2nd Owner,2013,Toyota
355,Tata Aria Prestige,GOLD,450000,115000,Diesel,2nd Owner,2012,Tata
356,Ford Figo,PLATINUM,357999,50488,Petrol,2nd Owner,2015,Ford
357,Maruti Suzuki Ignis,PLATINUM,462599,12916,Petrol,1st Owner,2018,Maruti
358,Hyundai Elite i20,PLATINUM,695199,30731,Petrol,1st Owner,2016,Hyundai
359,Maruti Suzuki Eeco,PLATINUM,490399,8825,Petrol,2nd Owner,2019,Maruti
360,Renault Kwid RxL,PLATINUM,340099,21627,Petrol,3rd Owner,2016,Renault
361,Maruti Suzuki Ertiga,PLATINUM,997899,5580,Petrol,2nd Owner,2020,Maruti
362,Hyundai i10 Sportz,PLATINUM,351599,41371,Petrol,1st Owner,2013,Hyundai
363,Maruti Suzuki Swift,PLATINUM,603799,42313,Petrol,1st Owner,2016,Maruti
364,Hyundai Elite i20,PLATINUM,599799,74913,Petrol,2nd Owner,2016,Hyundai
365,Maruti Suzuki Wagon,PLATINUM,456099,74760,Petrol,2nd Owner,2018,Maruti
366,Ford Ecosport,PLATINUM,993699,34045,Diesel,2nd Owner,2019,Ford
367,Maruti Suzuki Ritz,PLATINUM,312299,143147,Petrol,2nd Owner,2010,Maruti
368,Hyundai Venue,PLATINUM,1221799,28149,Petrol,1st Owner,2019,Hyundai
369,Maruti Suzuki Swift,PLATINUM,522999,38049,Petrol,2nd Owner,2015,Maruti
370,Hyundai EON Magna,PLATINUM,323399,78895,Petrol,2nd Owner,2014,Hyundai
371,Hyundai Grand i10,PLATINUM,510799,27027,Petrol,2nd Owner,2015,Hyundai
372,Mahindra XUV 500,GOLD,750000,66000,Diesel,2nd Owner,2013,Mahindra
373,Hyundai Getz GLS,GOLD,155000,82000,Petrol,2nd Owner,2005,Hyundai
374,Maruti Suzuki Swift,GOLD,350000,57000,Petrol,2nd Owner,2011,Maruti
375,Honda Amaze 1.5,GOLD,410000,71000,Diesel,2nd Owner,2014,Honda
376,Hyundai Eon Era,GOLD,275000,47000,CNG,2nd Owner,2014,Hyundai
377,Hyundai Grand i10,GOLD,465000,37000,Petrol,2nd Owner,2017,Hyundai
378,Maruti Suzuki Zen,GOLD,145000,73000,Petrol,2nd Owner,2007,Maruti
379,Hyundai Getz GLS,GOLD,165000,82650,Petrol,2nd Owner,2007,Hyundai
380,Maruti Suzuki Vitara,PLATINUM,910799,23940,Petrol,2nd Owner,2020,Maruti
381,Renault Captur,PLATINUM,722899,26678,Petrol,2nd Owner,2018,Renault
382,Honda WR V,PLATINUM,809499,41342,Diesel,2nd Owner,2018,Honda
383,Maruti Suzuki Alto,PLATINUM,297399,59614,Petrol,1st Owner,2013,Maruti
384,Maruti Suzuki Alto,PLATINUM,411999,39550,Petrol,2nd Owner,2016,Maruti
385,Renault Triber,PLATINUM,623399,28621,Petrol,1st Owner,2019,Renault
386,Honda Brio,PLATINUM,372399,60437,Petrol,1st Owner,2013,Honda
387,Maruti Suzuki Wagon,PLATINUM,518099,26598,Petrol,2nd Owner,2018,Maruti
388,Honda Amaze,PLATINUM,485599,62723,Petrol,2nd Owner,2015,Honda
389,Maruti Suzuki Baleno,PLATINUM,636899,21145,Petrol,2nd Owner,2017,Maruti
390,Hyundai Grand i10,PLATINUM,396999,48699,Petrol,1st Owner,2013,Hyundai
391,Ford Ecosport,PLATINUM,980399,10102,Petrol,2nd Owner,2019,Ford
392,Maruti Suzuki Baleno,PLATINUM,658999,34881,Petrol,1st Owner,2017,Maruti
393,Hyundai EON D,PLATINUM,304099,53997,Petrol,2nd Owner,2015,Hyundai
394,Maruti Suzuki Alto,PLATINUM,362599,49076,Petrol,1st Owner,2015,Maruti
395,Maruti Suzuki Alto,PLATINUM,344199,65951,Petrol,2nd Owner,2014,Maruti
396,Maruti Suzuki Swift,GOLD,215000,116000,Petrol,2nd Owner,2007,Maruti
397,Skoda Rapid 1.5,GOLD,550000,136000,Diesel,1st Owner,2015,Skoda
398,Renault Duster 110PS,GOLD,550000,85000,Diesel,2nd Owner,2013,Renault
399,Hyundai Santro,GOLD,89000,85000,Petrol,2nd Owner,2002,Hyundai
400,Maruti Suzuki Alto,GOLD,79000,85000,Petrol,2nd Owner,2001,Maruti
401,Chevrolet Aveo,GOLD,67000,63000,Petrol,2nd Owner,2007,Chevrolet
402,Ford Ikon,GOLD,59000,73000,Petrol,2nd Owner,2009,Ford
403,Maruti Suzuki Wagon,GOLD,69000,85000,Petrol,2nd Owner,2007,Maruti
404,Maruti Suzuki Alto,PLATINUM,462399,15032,Petrol,1st Owner,2017,Maruti
405,Maruti Suzuki Alto,PLATINUM,319999,15575,Petrol,2nd Owner,2017,Maruti
406,Maruti Suzuki Swift,PLATINUM,275699,147819,Diesel,3rd Owner,2010,Maruti
407,Hyundai Grand i10,PLATINUM,501599,35203,Petrol,2nd Owner,2016,Hyundai
408,Maruti Suzuki Eeco,PLATINUM,506599,7597,Petrol,1st Owner,2020,Maruti
409,Mahindra Scorpio S5,PLATINUM,1198599,34883,Diesel,1st Owner,2018,Mahindra
410,Ford Ecosport,PLATINUM,775499,59580,Diesel,2nd Owner,2017,Ford
411,Maruti Suzuki Ritz,PLATINUM,338999,49647,Petrol,2nd Owner,2011,Maruti
412,Hyundai Verna Fluidic,PLATINUM,652699,67577,Petrol,2nd Owner,2016,Hyundai
413,Tata Tiago,PLATINUM,535899,10890,Petrol,1st Owner,2017,Tata
414,Maruti Suzuki Swift,PLATINUM,492099,57444,Petrol,1st Owner,2015,Maruti
415,Honda City,PLATINUM,885999,33598,Petrol,2nd Owner,2017,Honda
416,Ford Freestyle,PLATINUM,694899,17804,Petrol,2nd Owner,2018,Ford
417,Maruti Suzuki Swift,PLATINUM,450599,62613,Petrol,2nd Owner,2013,Maruti
418,Hyundai i20 Asta,PLATINUM,377999,56974,Petrol,2nd Owner,2010,Hyundai
419,Datsun Redi GO,PLATINUM,491499,1405,Petrol,1st Owner,2021,Datsun
420,Maruti Suzuki Omni,GOLD,89000,85000,Petrol,2nd Owner,2008,Maruti
421,Hyundai Creta 1.6,GOLD,1865000,8000,Petrol,2nd Owner,2020,Hyundai
422,Datsun GO T,GOLD,235000,29000,Petrol,2nd Owner,2014,Datsun
423,Mahindra Bolero B6,GOLD,1025000,22000,Diesel,2nd Owner,2020,Mahindra
424,Volkswagen Polo GT,GOLD,450000,118000,Petrol,2nd Owner,2014,Volkswagen
425,Hyundai Creta 1.6,GOLD,1575000,23000,Diesel,2nd Owner,2020,Hyundai
426,Maruti Suzuki Swift,GOLD,695000,34000,Diesel,2nd Owner,2018,Maruti
427,Honda Civic 1.8V,GOLD,295000,87000,Petrol,2nd Owner,2008,Honda
428,Hyundai Verna,PLATINUM,1171199,36965,Petrol,2nd Owner,2018,Hyundai
429,Honda WR V,PLATINUM,625699,25526,Petrol,1st Owner,2017,Honda
430,Hyundai Grand i10,PLATINUM,453199,20235,Petrol,1st Owner,2016,Hyundai
431,Maruti Suzuki Vitara,PLATINUM,850499,61064,Diesel,2nd Owner,2018,Maruti
432,Maruti Suzuki Ignis,PLATINUM,548699,12558,Petrol,2nd Owner,2018,Maruti
433,Maruti Suzuki Alto,PLATINUM,498799,14179,Petrol,1st Owner,2019,Maruti
434,Honda City VX,PLATINUM,1377199,20379,Petrol,1st Owner,2020,Honda
435,Ford Ecosport,PLATINUM,772799,42837,Petrol,2nd Owner,2017,Ford
436,Hyundai Elite i20,PLATINUM,572599,67473,Petrol,2nd Owner,2016,Hyundai
437,Honda City V,PLATINUM,774899,27576,Petrol,1st Owner,2016,Honda
438,Maruti Suzuki S,PLATINUM,885099,80900,Diesel,2nd Owner,2017,Maruti
439,Hyundai Elite i20,PLATINUM,687499,100934,Diesel,2nd Owner,2017,Hyundai
440,Hyundai Elite i20,PLATINUM,567799,29060,Petrol,2nd Owner,2015,Hyundai
441,Hyundai i10 Magna,PLATINUM,398499,36129,Petrol,2nd Owner,2016,Hyundai
442,Maruti Suzuki Swift,PLATINUM,348499,156442,Diesel,2nd Owner,2011,Maruti
443,Maruti Suzuki Wagon,PLATINUM,520899,48710,Petrol,2nd Owner,2018,Maruti
444,Ford Figo Diesel,GOLD,225000,80000,Diesel,2nd Owner,2012,Ford
445,Honda City SV,GOLD,725000,57000,Petrol,2nd Owner,2015,Honda
446,Honda CRV,GOLD,240000,97000,LPG,2nd Owner,2004,Honda
447,Honda Amaze 1.2,GOLD,425000,44000,Petrol,2nd Owner,2013,Honda
448,Maruti Suzuki Swift,GOLD,500000,57000,Petrol,2nd Owner,2015,Maruti
449,Maruti Suzuki Swift,GOLD,250000,77000,Petrol,2nd Owner,2008,Maruti
450,Maruti Suzuki Ritz,GOLD,360000,81000,Petrol,2nd Owner,2013,Maruti
451,Hyundai Creta 1.6,GOLD,975000,41000,Petrol,2nd Owner,2016,Hyundai
452,Ford Ecosport,PLATINUM,916799,20619,Petrol,2nd Owner,2018,Ford
453,Maruti Suzuki Wagon,PLATINUM,480999,51149,Petrol+CNG,2nd Owner,2018,Maruti
454,Tata Nexon,PLATINUM,1043299,12978,Petrol,1st Owner,2020,Tata
455,Honda City V,PLATINUM,787399,40025,Petrol,1st Owner,2016,Honda
456,Hyundai Grand i10,PLATINUM,501599,63075,Petrol,2nd Owner,2016,Hyundai
457,Honda Brio,PLATINUM,362999,78724,Petrol,2nd Owner,2012,Honda
458,Renault Kwid,PLATINUM,403199,12257,Petrol,2nd Owner,2018,Renault
459,Hyundai Venue,PLATINUM,1022599,26890,Diesel,2nd Owner,2019,Hyundai
460,Nissan Micra Active,PLATINUM,483199,20485,Petrol,2nd Owner,2018,Nissan
